Time (s),Volume (m^3),NH2_X(8),NH_X(9),NHO_X(10),H2O_X(11),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),HX(13)
7.026714349420446e-18,0.04813658495077032,1.1252406521689847e-13,4.0728312522357706e-24,7.723094588212712e-46,8.292190689490325e-48,0.054,4.5929755126560036e-57,1.0726101139596194e-12,1.3857339352719807e-32,1.0817232864684028e-28,1.869095043005611e-12,0.0,0.0,0.02848586399951247,0.8799999999994638,7.380867670207957e-44,4.225199397435671e-78,1.2950838128181848e-74,0.0659999999980184,5.91581834980928e-104,1.1252406522504406e-13
9.837400089421305e-18,0.04813658495077032,1.5753369133545378e-13,7.831995312767793e-24,2.994935750817107e-45,4.8885451877081265e-47,0.054,2.591069795796268e-56,1.501654159513951e-12,3.6587794610180745e-32,2.9597911055073697e-28,2.616733056663248e-12,0.0,0.0,0.028485863998245767,0.8799999999992493,4.351287438363576e-43,9.75944086131373e-78,1.0818522932344349e-73,0.06599999999722575,1.9459854997969774e-102,1.575336913511175e-13
1.545877156942302e-17,0.04813658495077032,2.475529436220817e-13,1.910813569667356e-23,1.926266492261784e-44,5.385654010748289e-46,0.054,2.9002822796726018e-55,2.3597422505078884e-12,1.414820972270409e-31,1.1754751782581552e-27,4.112009077616326e-12,0.0,0.0,0.028485863995712363,0.8799999999988203,4.7937633360544997e-42,1.4943586105498446e-76,2.1816194491313749e-72,0.06599999999564045,1.6409477333910028e-100,2.475529436602968e-13
2.1080143049424738e-17,0.04813658495077032,3.3757219597478904e-13,3.5399209381773837e-23,6.356970073750295e-44,2.2951256041351827e-45,0.054,1.2258545814963774e-54,3.2178303413487256e-12,3.5112899081190322e-31,2.942963519137788e-27,5.607285090079182e-12,0.0,0.0,0.02848586399317896,0.8799999999983913,2.0428881897297938e-41,1.2228626130537355e-75,1.1515210402808679e-71,0.06599999999405515,1.5036862337396236e-99,3.3757219604558453e-13
3.2322886009428176e-17,0.04813658495077032,5.176107008783791e-13,8.302319066046779e-23,3.634367750612339e-43,2.1262062552699982e-44,0.054,1.1319317732682968e-53,4.934006522571237e-12,1.2753540991924159e-30,1.0757875475868737e-26,8.597837089541904e-12,0.0,0.0,0.028485863988112155,0.8799999999975332,1.8925332936137176e-40,2.3850387029875667e-74,1.7492309773077732e-70,0.06599999999088456,1.157709537256129e-97,5.176107010444148e-13
5.4808371929435045e-17,0.04813658495077032,8.776877114782283e-13,2.384475907220849e-22,3.1933848563198e-42,3.3676957749730452e-43,0.054,1.847072795977848e-52,8.366358883179627e-12,6.37369616706966e-30,5.393113094813346e-26,1.4578940986617096e-11,0.0,0.0,0.028485863977978546,0.879999999995817,2.9975813265351994e-39,1.1486578713080065e-72,5.428381079242718e-69,0.06599999998454338,1.6364938941162195e-95,8.776877119550696e-13
9.977934376944878e-17,0.04813658495077032,1.5978417358483863e-12,7.900796148997736e-22,3.6948048639267504e-41,7.422982170695077e-42,0.054,4.1728126027449204e-51,1.5231063597049924e-11,3.951822142323688e-29,3.3471993945791447e-25,2.6541148373373712e-11,0.0,0.0,0.028485863957711324,0.8799999999923847,6.607184948446988e-38,8.676783034328176e-71,2.420923658930152e-67,0.06599999997186103,5.21824580978738e-93,1.597841737428211e-12
1.8972128744947626e-16,0.04813658495077032,3.0381497972692444e-12,2.857126569149371e-21,4.987599735356444e-40,1.9584502799445886e-40,0.054,1.1159428638807886e-49,2.896047299540396e-11,2.7699749222249218e-28,2.346170220649057e-24,5.046556151731518e-11,0.0,0.0,0.028485863917176887,0.8799999999855199,1.7432124248118985e-36,7.817255675906767e-69,1.2887439221271262e-65,0.0659999999464963,1.5303223095741093e-90,3.0381498029811523e-12
3.696051748095312e-16,0.04813658495077032,5.9187659708228905e-12,1.0851563034220888e-20,7.314780704417685e-39,5.6801942834452184e-39,0.054,3.2592726451396694e-48,5.6419291674560563e-11,2.0727840369259573e-27,1.7545481209822158e-23,9.831438128691968e-11,0.0,0.0,0.028485863836108016,0.8799999999717905,5.055912669282973e-35,9.488419421948369e-67,7.512143700064025e-64,0.06599999989576685,8.537153878309692e-88,5.918765992508478e-12
7.293729495296411e-16,0.04813658495077032,1.167999852069643e-11,4.232352291486296e-20,1.1204366391598355e-37,1.7295867813694747e-37,0.054,9.964186804069984e-47,1.1133692856262509e-10,1.604940910695938e-26,1.3565954718793832e-22,1.9401199475303197e-10,0.0,0.0,0.028485863673970303,0.8799999999443316,1.5394770846299952e-33,1.1378398317910782e-64,4.588582902796593e-62,0.06599999979430803,4.0433213610606027e-85,1.1679998605207864e-11
